show_id,type,title,date_added,release_year,rating,duration,duration_type
s1,Movie,Dick Johnson Is Dead,9/25/2021,2020,PG-13,90,min
s2,TV Show,Blood & Water,9/24/2021,2021,TV-MA,2,Seasons
s3,TV Show,Ganglands,9/24/2021,2021,TV-MA,1,Season
s4,TV Show,Jailbirds New Orleans,9/24/2021,2021,TV-MA,1,Season
s5,TV Show,Kota Factory,9/24/2021,2021,TV-MA,2,Seasons
s6,TV Show,Midnight Mass,9/24/2021,2021,TV-MA,1,Season
s7,Movie,My Little Pony: A New Generation,9/24/2021,2021,PG,91,min
s8,Movie,Sankofa,9/24/2021,1993,TV-MA,125,min
s9,TV Show,The Great British Baking Show,9/24/2021,2021,TV-14,9,Seasons
s10,Movie,The Starling,9/24/2021,2021,PG-13,104,min
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",9/24/2021,2021,TV-MA,1,Season
s12,TV Show,Bangkok Breaking,9/23/2021,2021,TV-MA,1,Season
s13,Movie,Je Suis Karl,9/23/2021,2021,TV-MA,127,min
s14,Movie,Confessions of an Invisible Girl,9/22/2021,2021,TV-PG,91,min
s15,TV Show,Crime Stories: India Detectives,9/22/2021,2021,TV-MA,1,Season
s16,TV Show,Dear White People,9/22/2021,2021,TV-MA,4,Seasons
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,9/22/2021,2020,TV-MA,67,min
s18,TV Show,Falsa identidad,9/22/2021,2020,TV-MA,2,Seasons
s19,Movie,Intrusion,9/22/2021,2021,TV-14,94,min
s20,TV Show,Jaguar,9/22/2021,2021,TV-MA,1,Season
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,9/22/2021,2021,TV-14,1,Season
s22,TV Show,Resurrection: Ertugrul,9/22/2021,2018,TV-14,5,Seasons
s23,Movie,Avvai Shanmughi,9/21/2021,1996,TV-PG,161,min
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,9/21/2021,2021,TV-Y,61,min
s25,Movie,Jeans,9/21/2021,1998,TV-14,166,min
s26,TV Show,Love on the Spectrum,9/21/2021,2021,TV-14,2,Seasons
s27,Movie,Minsara Kanavu,9/21/2021,1997,TV-PG,147,min
s28,Movie,Grown Ups,9/20/2021,2010,PG-13,103,min
s29,Movie,Dark Skies,9/19/2021,2013,PG-13,97,min
s30,Movie,Paranoia,9/19/2021,2013,PG-13,106,min
s31,Movie,Ankahi Kahaniya,9/17/2021,2021,TV-14,111,min
s32,TV Show,Chicago Party Aunt,9/17/2021,2021,TV-MA,1,Season
s33,TV Show,Sex Education,9/17/2021,2020,TV-MA,3,Seasons
s34,TV Show,Squid Game,9/17/2021,2021,TV-MA,1,Season
s35,TV Show,Tayo and Little Wizards,9/17/2021,2020,TV-Y7,1,Season
s36,Movie,The Father Who Moves Mountains,9/17/2021,2021,TV-MA,110,min
s37,Movie,The Stronghold,9/17/2021,2021,TV-MA,105,min
s38,TV Show,Angry Birds,9/16/2021,2018,TV-Y7,1,Season
s39,Movie,Birth of the Dragon,9/16/2021,2017,PG-13,96,min
s40,TV Show,Chhota Bheem,9/16/2021,2021,TV-Y7,3,Seasons
s41,TV Show,He-Man and the Masters of the Universe,9/16/2021,2021,TV-Y7,1,Season
s42,Movie,Jaws,9/16/2021,1975,PG,124,min
s43,Movie,Jaws 2,9/16/2021,1978,PG,116,min
s44,Movie,Jaws 3,9/16/2021,1983,PG,98,min
s45,Movie,Jaws: The Revenge,9/16/2021,1987,PG-13,91,min
s46,Movie,My Heroes Were Cowboys,9/16/2021,2021,PG,23,min
s47,Movie,Safe House,9/16/2021,2012,R,115,min
s48,TV Show,The Smart Money Woman,9/16/2021,2020,TV-MA,1,Season
s49,Movie,Training Day,9/16/2021,2001,R,122,min
s50,TV Show,Castle and Castle,9/15/2021,2021,TV-MA,2,Seasons
s51,TV Show,Dharmakshetra,9/15/2021,2014,TV-PG,1,Season
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,9/15/2021,2002,TV-14,99,min
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,9/15/2021,2003,TV-14,99,min
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,9/15/2021,2004,TV-PG,88,min
s55,Movie,InuYasha the Movie: Affections Touching Across Time,9/15/2021,2001,TV-PG,100,min
s56,TV Show,Nailed It,9/15/2021,2021,TV-PG,6,Seasons
s57,Movie,Naruto Shippuden the Movie: Blood Prison,9/15/2021,2011,TV-14,102,min
s58,Movie,Naruto Shippûden the Movie: Bonds,9/15/2021,2008,TV-PG,93,min
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,9/15/2021,2009,TV-PG,96,min
s60,Movie,Naruto Shippuden: The Movie,9/15/2021,2007,TV-PG,95,min
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,9/15/2021,2010,TV-14,85,min
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,9/15/2021,2005,TV-PG,97,min
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,9/15/2021,2006,TV-PG,95,min
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,9/15/2021,2004,TV-PG,83,min
s65,Movie,Nightbooks,9/15/2021,2021,TV-PG,103,min
s66,TV Show,Numberblocks,9/15/2021,2021,TV-Y,6,Seasons
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,9/15/2021,2014,TV-G,1,Season
s68,TV Show,Saved by the Bell,9/15/2021,1994,TV-PG,9,Seasons
s69,Movie,Schumacher,9/15/2021,2021,TV-14,113,min
s70,TV Show,Stories by Rabindranath Tagore,9/15/2021,2015,TV-PG,1,Season
s71,TV Show,Too Hot To Handle: Latino,9/15/2021,2021,TV-MA,1,Season
s72,Movie,A StoryBots Space Adventure,9/14/2021,2021,TV-Y,13,min
s73,TV Show,Jack Whitehall: Travels with My Father,9/14/2021,2021,TV-MA,5,Seasons
s74,Movie,King of Boys,9/14/2021,2018,TV-MA,182,min
s75,TV Show,The World's Most Amazing Vacation Rentals,9/14/2021,2021,TV-PG,2,Seasons
s76,Movie,You vs. Wild: Out Cold,9/14/2021,2021,TV-G,106,min
s77,TV Show,Yowamushi Pedal,9/14/2021,2013,TV-14,1,Season
s78,Movie,Little Singham - Black Shadow,9/11/2021,2021,TV-Y7,48,min
s79,Movie,Tughlaq Durbar,9/11/2021,2020,TV-14,145,min
s80,Movie,Tughlaq Durbar (Telugu),9/11/2021,2021,TV-14,145,min
s81,Movie,Firedrake the Silver Dragon,9/10/2021,2021,TV-Y7,93,min
s82,Movie,Kate,9/10/2021,2021,R,106,min
s83,TV Show,Lucifer,9/10/2021,2021,TV-14,6,Seasons
s84,TV Show,Metal Shop Masters,9/10/2021,2021,TV-MA,1,Season
s85,Movie,Omo Ghetto: the Saga,9/10/2021,2020,TV-MA,147,min
s86,TV Show,Pokémon Master Journeys: The Series,9/10/2021,2021,TV-Y7,1,Season
s87,Movie,Prey,9/10/2021,2021,TV-MA,87,min
s88,TV Show,Titipo Titipo,9/10/2021,2019,TV-Y,2,Seasons
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,9/9/2021,2021,PG-13,96,min
s90,TV Show,Mighty Raju,9/9/2021,2017,TV-Y7,4,Seasons
s91,Movie,Paradise Hills,9/9/2021,2019,TV-MA,95,min
s92,Movie,The Women and the Murderer,9/9/2021,2021,TV-14,92,min
s93,TV Show,Into the Night,9/8/2021,2021,TV-MA,2,Seasons
s94,Movie,JJ+E,9/8/2021,2021,TV-MA,91,min
s95,Movie,Show Dogs,9/8/2021,2018,PG,90,min
s96,TV Show,The Circle,9/8/2021,2021,TV-MA,3,Seasons
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,9/7/2021,2018,TV-MA,97,min
s98,TV Show,Kid Cosmic,9/7/2021,2021,TV-Y7,2,Seasons
s99,TV Show,Octonauts: Above & Beyond,9/7/2021,2021,TV-Y,1,Season
s100,TV Show,On the Verge,9/7/2021,2021,TV-MA,1,Season
